id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
272,Levine High School,Texas,Private,Elementary,15282.69,46.2,21.5,61.0,11.3,68.3,8.7
273,Hull High School,Texas,Public,High,24425.17,58.9,16.7,35.7,38.8,57.8,3.86
274,White Elementary School,New York,Public,High,6149.18,40.3,18.9,54.0,35.0,57.7,8.45
275,Elliott Elementary School,Illinois,Public,High,11520.02,56.0,23.3,18.5,27.8,81.0,1.24
276,Griffin Elementary School,Georgia,Private,High,20262.89,44.7,28.5,64.3,60.5,66.0,10.01
277,Hebert Middle School,Florida,Public,High,18872.89,40.6,28.9,30.5,89.3,58.8,8.34
278,Lewis Elementary School,California,Public,Middle,24559.37,63.9,17.8,10.5,22.1,71.7,2.23
279,Allen High School,Illinois,Public,Elementary,24562.36,69.3,22.2,43.0,80.3,97.0,2.3
280,Massey Middle School,North Carolina,Public,High,21311.28,58.6,15.3,79.6,17.8,85.0,4.17
281,Hebert Middle School,Pennsylvania,Private,Elementary,16352.07,54.4,19.1,75.7,42.1,98.2,5.89
282,Waters Middle School,Michigan,Charter,Elementary,22885.28,47.8,13.8,72.8,53.9,68.2,4.46
283,Parker Elementary School,Michigan,Private,Elementary,7701.85,40.0,12.8,90.8,74.7,63.4,7.56
284,Schmidt Middle School,Georgia,Private,High,12068.54,57.2,11.4,41.1,73.7,95.0,1.77
285,Andrews Elementary School,North Carolina,Private,Elementary,7969.77,42.7,17.8,31.7,50.8,87.8,3.14
286,Reyes Elementary School,Michigan,Charter,Elementary,20512.41,54.7,20.1,59.6,9.1,81.5,4.65
287,Dominguez High School,New York,Private,Middle,14502.9,50.3,17.4,71.2,35.0,88.0,3.45
288,Harris Elementary School,Georgia,Public,Middle,21551.1,54.5,17.7,50.1,82.3,71.1,5.61
289,Tapia Elementary School,California,Public,Elementary,23853.26,56.7,23.1,39.9,18.9,67.4,7.19
290,Khan High School,Illinois,Private,High,9111.61,46.8,19.4,61.5,6.0,96.9,4.54
291,Gray Middle School,Michigan,Public,Middle,11673.46,43.3,21.3,60.0,28.6,83.2,6.19
292,Williams Middle School,Illinois,Public,Elementary,13127.46,47.2,24.3,44.2,18.1,79.5,4.56
293,Medina Middle School,Illinois,Public,High,21162.97,53.1,20.8,87.5,20.2,67.4,8.04
294,Calhoun Middle School,California,Private,Middle,11836.51,40.0,10.4,66.7,55.5,54.3,5.54
295,Hutchinson Elementary School,California,Charter,Middle,8276.55,40.0,21.9,87.3,58.6,63.9,11.46
296,Harris Elementary School,North Carolina,Charter,High,12110.56,55.7,20.0,17.9,34.0,90.0,1.56
297,Wright High School,Georgia,Private,Elementary,20527.55,59.2,13.3,14.1,38.3,50.0,0.75
298,Roach Elementary School,New York,Private,Middle,13140.78,51.0,12.1,10.8,31.9,57.2,1.3
299,Ramirez Middle School,Texas,Private,High,17782.45,49.7,12.3,56.8,12.7,76.7,2.23
300,Silva Elementary School,New York,Public,Middle,12171.78,43.1,27.5,66.2,16.9,87.0,5.96
301,Guerrero Elementary School,Michigan,Private,Middle,12695.31,63.3,10.8,14.1,10.5,67.6,0.5
302,Riddle High School,North Carolina,Private,Middle,21610.2,40.0,26.4,86.0,31.0,51.0,10.18
303,Johnson High School,California,Public,High,15764.33,49.1,22.1,48.2,87.8,74.9,7.37
304,Harris Middle School,California,Charter,High,12538.27,40.0,19.9,86.9,38.5,55.5,12.06
305,Wilson Middle School,California,Charter,High,24536.61,57.3,10.8,82.7,29.4,66.4,5.69
306,Olson Elementary School,Pennsylvania,Private,Middle,10539.84,41.7,23.6,50.4,60.5,97.4,2.08
307,Foster Middle School,Texas,Public,Elementary,16076.69,40.0,13.7,89.6,82.6,54.5,9.91
308,Gonzalez High School,Florida,Public,Middle,10128.6,40.0,27.2,69.6,10.4,58.2,11.88
309,Barnett Elementary School,Pennsylvania,Public,High,7931.46,40.0,29.4,33.7,56.5,55.2,5.85
310,Rubio High School,Illinois,Charter,Middle,17503.49,58.6,24.3,48.0,90.8,92.8,3.95
311,Goodman High School,New York,Charter,Middle,19973.3,56.6,23.6,37.6,91.3,75.6,3.92
312,Rhodes Middle School,Florida,Private,Elementary,11543.91,40.0,27.5,69.1,85.5,53.1,13.39
313,Sims High School,North Carolina,Public,Middle,23996.5,54.0,25.1,78.5,31.5,60.2,8.7
314,Braun High School,Texas,Private,Elementary,7426.08,40.0,26.5,64.8,10.2,82.4,7.93
315,Jackson Elementary School,Illinois,Private,Middle,17805.95,63.8,19.2,29.0,11.5,85.8,1.11
316,Martin Middle School,Texas,Private,Middle,22758.08,51.8,12.0,67.3,85.3,61.2,9.39
317,Sherman Elementary School,New York,Charter,High,13924.4,44.6,23.5,26.7,89.2,68.5,6.07
318,Martin Elementary School,Illinois,Private,Middle,24900.18,54.5,11.2,81.6,32.9,64.9,6.93
319,May High School,Michigan,Charter,Elementary,16547.36,55.7,27.7,22.5,82.9,87.2,1.92
320,Jenkins Elementary School,Texas,Public,High,16369.69,40.0,28.0,74.1,93.7,83.0,11.53
321,Freeman Elementary School,Ohio,Public,Elementary,22970.99,67.3,11.0,27.3,59.4,67.2,0.5
322,Silva Middle School,North Carolina,Charter,Middle,15866.95,40.0,17.0,87.3,73.3,62.6,9.92
323,Phillips High School,Ohio,Charter,Elementary,19926.92,65.2,15.7,50.3,36.1,87.0,1.64
324,Wilkerson Middle School,Florida,Private,Middle,9436.07,45.1,10.7,84.9,34.6,80.1,4.22
325,Petersen High School,Florida,Private,Elementary,17606.55,51.4,22.5,63.3,54.7,66.7,8.12
326,Jones Middle School,California,Private,Middle,11431.38,55.8,14.3,29.1,54.7,84.5,2.42
327,Thomas Middle School,Illinois,Charter,High,6615.56,40.0,24.0,14.6,77.2,74.1,5.45
328,Rodriguez Elementary School,Georgia,Charter,Elementary,7840.1,40.0,27.3,24.2,31.3,70.5,4.07
329,Kaiser Elementary School,Georgia,Private,Middle,23855.36,50.5,27.0,26.9,56.3,64.8,6.0
330,Murphy Elementary School,California,Charter,Elementary,7337.24,40.0,10.7,52.0,78.4,74.4,6.32
331,Garcia Middle School,Michigan,Charter,Elementary,7191.61,50.0,16.6,20.8,73.6,75.5,0.65
332,Evans High School,Florida,Public,Middle,10008.7,40.0,24.3,76.8,69.8,76.8,8.43
333,White Elementary School,New York,Charter,Middle,12585.34,50.9,19.5,31.4,74.0,97.7,3.08
334,Horton Middle School,Georgia,Private,Middle,24975.1,58.3,26.3,41.8,80.2,95.7,4.13
335,Allen Elementary School,Georgia,Charter,Middle,12355.11,40.0,23.3,65.1,89.8,54.7,11.69
336,Moore Middle School,Texas,Public,High,10735.8,42.5,16.4,25.5,45.2,69.5,6.26
337,Bennett Middle School,New York,Private,Elementary,21513.68,45.5,19.4,80.1,58.1,68.3,9.63
338,Torres Middle School,North Carolina,Charter,Elementary,24744.42,58.9,17.6,62.2,26.5,66.7,6.26
339,Roberson Elementary School,Florida,Charter,High,7863.12,48.8,22.9,20.6,93.7,89.2,6.55
340,Gonzales Elementary School,California,Private,High,8029.51,49.3,15.1,51.6,21.5,88.5,2.54
341,Thomas Middle School,New York,Charter,Middle,21677.02,40.0,21.8,49.4,43.2,53.2,7.9
342,Koch High School,New York,Public,Middle,15428.27,47.4,23.4,14.2,51.6,54.5,6.17
343,Wilson Middle School,Pennsylvania,Charter,High,6706.94,40.0,23.1,54.1,14.5,50.9,9.67
344,Carter High School,Illinois,Private,High,16953.66,58.9,15.8,53.9,36.7,91.1,1.57
345,Hawkins Middle School,New York,Public,Middle,20499.45,58.0,27.3,45.7,14.9,71.6,4.22
346,Aguilar Middle School,Texas,Charter,Elementary,9576.73,40.0,29.5,64.2,94.7,67.8,13.92
347,Watkins High School,Illinois,Private,Elementary,9519.47,48.2,19.6,12.4,23.7,80.3,1.93
348,Clarke High School,New York,Private,Elementary,13690.34,51.8,15.7,52.4,43.1,78.7,3.26
349,Williams Middle School,North Carolina,Private,Elementary,15384.72,40.0,22.8,42.2,91.9,57.0,10.17
350,Walters Elementary School,Ohio,Charter,High,21119.96,68.8,20.6,29.0,9.5,82.6,0.5
351,Garza Middle School,Florida,Private,Middle,13186.67,50.3,14.3,44.1,70.5,75.3,3.94
352,Jordan Middle School,New York,Charter,High,23005.54,54.6,27.2,55.6,74.9,75.9,8.01
353,Harrington Middle School,New York,Public,High,15841.3,40.0,12.3,87.1,45.6,54.5,8.34
354,Vaughn High School,Texas,Charter,Elementary,16980.89,63.6,13.1,45.3,50.2,93.1,1.0
355,Kennedy Middle School,Texas,Charter,Elementary,8681.92,40.0,12.5,75.7,82.0,61.4,11.35
356,Atkinson High School,Pennsylvania,Charter,Elementary,19243.89,58.8,11.9,78.9,61.6,95.0,4.1
357,Smith Elementary School,Florida,Charter,High,15299.17,45.6,28.5,45.7,40.6,77.1,6.45
358,Hill Elementary School,North Carolina,Private,Middle,6010.14,48.7,11.4,27.8,68.1,85.4,0.85
359,Peters Middle School,Florida,Public,Elementary,17627.01,43.3,20.3,79.1,7.8,72.7,7.45
360,Daniels Elementary School,Texas,Public,High,8138.46,40.0,10.0,46.7,58.4,58.4,5.76
361,Rodriguez Middle School,Pennsylvania,Charter,Elementary,19989.33,55.4,22.8,64.6,55.0,97.8,4.05
362,Richardson High School,Florida,Charter,Middle,10907.56,48.3,13.9,27.5,26.1,60.0,4.77
363,King Elementary School,North Carolina,Private,Elementary,22092.54,56.9,18.3,52.7,64.0,63.9,4.0
364,Martin Elementary School,Pennsylvania,Charter,Elementary,6553.06,40.0,25.0,64.6,20.1,98.8,6.72
365,Calhoun Elementary School,Florida,Private,Elementary,10211.94,40.0,18.4,26.0,65.6,53.0,6.32
366,Williams Middle School,North Carolina,Private,Middle,19004.2,63.9,16.8,80.4,8.0,97.9,3.23
367,Leonard High School,Michigan,Private,Elementary,15041.45,47.4,14.9,87.3,13.9,90.4,4.11
368,Ortiz Elementary School,California,Public,Middle,22238.67,55.5,19.3,22.9,20.0,59.9,5.14
369,Kim Elementary School,California,Private,High,19546.93,50.1,19.6,48.4,5.1,52.7,8.11
370,Boyer High School,North Carolina,Private,Elementary,24695.63,54.8,25.0,89.7,64.6,83.9,9.75
371,Frey Elementary School,Illinois,Public,High,23087.27,53.8,29.2,37.1,87.4,79.0,4.46
372,Ayala High School,North Carolina,Public,Middle,6551.14,40.0,29.6,94.5,19.9,94.4,10.43
373,Pierce Elementary School,Ohio,Private,Middle,24121.65,65.3,16.2,53.8,73.9,83.4,3.64
374,Cross High School,California,Private,Elementary,7506.27,40.0,29.2,68.3,18.6,85.7,6.18
375,Hawkins Middle School,Texas,Charter,Middle,24734.07,66.9,19.3,30.9,32.9,75.8,1.69
376,Larsen Middle School,New York,Charter,Middle,5780.51,45.3,19.5,23.5,27.0,54.4,5.79
377,Marshall Elementary School,New York,Private,Middle,24350.94,56.4,10.2,74.9,35.2,61.3,6.63
378,Thompson High School,California,Public,Elementary,9744.0,40.0,11.8,34.0,74.4,58.2,5.96
379,May Elementary School,Pennsylvania,Private,Elementary,11062.64,40.0,25.5,85.8,92.8,54.8,13.69
380,Holt Elementary School,Ohio,Public,Middle,6635.26,44.2,11.1,72.2,28.6,97.1,5.2
381,Blair High School,Florida,Private,Elementary,19143.43,51.7,25.2,16.3,78.2,65.3,6.67
382,Davis High School,New York,Public,High,19629.29,47.1,19.9,70.8,63.2,51.5,6.6
383,Pierce Elementary School,Texas,Charter,Middle,21859.29,40.0,29.4,78.8,9.5,62.1,10.78
384,Hayes Middle School,New York,Public,Middle,17394.22,52.6,19.8,42.6,67.2,96.6,2.6
385,Ortiz High School,North Carolina,Public,High,18804.99,55.7,18.1,18.1,58.0,86.1,0.5
386,Mays High School,Texas,Public,Middle,23706.87,43.5,18.5,75.3,84.2,53.9,10.78
387,Stafford High School,New York,Public,Elementary,20202.08,55.7,19.1,69.3,58.6,86.0,6.86
388,Strong High School,Georgia,Public,Elementary,23317.95,61.3,19.8,90.4,18.7,97.9,3.34
389,Williams High School,Texas,Public,Elementary,5921.11,40.0,28.1,55.7,91.2,82.0,9.1
390,Martinez High School,Florida,Charter,Middle,7665.8,40.0,26.6,88.7,67.3,65.4,11.12
391,Vargas Elementary School,Texas,Private,Elementary,7186.42,40.0,17.9,29.3,48.0,86.2,2.46
392,Ross High School,North Carolina,Private,Elementary,13260.81,40.0,13.9,86.7,83.1,54.5,12.7
393,Hernandez Elementary School,Pennsylvania,Charter,Middle,20641.58,40.0,27.6,89.4,16.2,51.9,12.15
394,Nunez Elementary School,Texas,Public,Middle,22357.18,63.6,23.4,45.5,36.6,93.8,2.86
395,Harris Middle School,North Carolina,Charter,Elementary,12591.91,48.7,12.8,41.0,73.7,63.8,2.82
396,Flores Middle School,Pennsylvania,Charter,Middle,24239.13,64.6,14.1,39.6,35.8,71.3,4.35
397,Newman Middle School,Texas,Public,High,18376.59,61.2,10.7,39.2,45.1,70.6,2.72
398,Smith Middle School,Georgia,Public,Elementary,17773.08,43.5,26.5,94.2,67.2,89.4,9.67
399,Butler High School,California,Private,Elementary,5157.76,41.8,15.2,34.8,68.7,74.4,5.27
400,Brown High School,Florida,Private,High,22595.3,42.9,23.7,71.6,67.4,60.5,8.79
401,Mitchell Elementary School,Pennsylvania,Private,High,22415.37,48.4,25.0,34.1,55.1,50.9,9.31
402,Myers Elementary School,Pennsylvania,Private,High,17933.4,40.0,29.1,87.5,84.7,64.7,12.66
403,Harper Elementary School,Pennsylvania,Private,Elementary,23525.49,56.9,28.5,55.2,55.1,80.8,6.2
404,Shaw Elementary School,New York,Charter,Elementary,13771.92,40.0,28.3,47.2,11.1,52.4,8.83
405,Buckley High School,Georgia,Charter,Middle,18430.67,50.2,15.8,78.3,28.8,67.8,6.5
406,Campbell Middle School,North Carolina,Public,Elementary,18879.04,51.3,11.9,73.1,25.6,68.7,6.57
407,Bradford High School,Florida,Charter,High,13166.72,40.0,29.1,93.7,6.5,50.9,13.66
408,Garcia Middle School,Ohio,Private,High,9050.24,40.0,25.1,90.0,40.3,68.9,11.92
409,Martin Middle School,New York,Public,High,13491.54,41.1,24.4,42.0,16.0,84.9,4.95
410,Meyer Middle School,Ohio,Public,High,16080.11,44.1,28.5,39.1,74.7,91.0,6.43
411,Carney High School,Georgia,Charter,Middle,14305.94,42.9,12.8,91.3,68.3,95.6,5.88
412,Duke High School,North Carolina,Charter,Middle,24779.02,46.2,14.9,91.4,43.1,74.3,10.78
413,Gardner Middle School,Michigan,Charter,Elementary,9735.4,40.0,28.7,31.1,39.4,71.6,4.97
414,Ramirez Elementary School,Illinois,Private,High,13679.75,41.8,17.3,82.2,78.7,70.2,10.92
415,Strickland High School,Georgia,Public,High,23327.88,62.9,19.0,40.7,46.1,87.1,3.62
416,Huynh Elementary School,New York,Public,Elementary,19734.53,55.5,25.2,48.1,34.0,86.0,3.39
417,Gordon Elementary School,Illinois,Charter,Elementary,9063.65,43.7,21.8,20.7,22.2,53.8,8.39
418,Romero Elementary School,Florida,Charter,High,19745.31,67.4,17.8,39.1,10.3,86.3,1.72
419,Davis High School,Florida,Private,Middle,13401.04,40.0,24.8,54.2,30.7,65.2,9.56
420,Christensen Middle School,Michigan,Private,Elementary,6853.48,53.4,18.3,25.7,84.7,98.4,1.26
421,Guzman High School,Ohio,Private,Middle,9776.23,40.0,15.2,77.2,51.4,57.7,9.21
422,Bowman High School,Georgia,Public,Elementary,10646.73,40.0,28.1,87.8,38.5,59.4,12.22
423,Wise Middle School,North Carolina,Private,High,6642.31,40.0,20.4,64.8,54.2,91.9,6.63
424,Pena High School,Pennsylvania,Private,Elementary,5934.75,40.0,19.4,13.8,91.9,75.3,5.97
425,Farley Middle School,Illinois,Private,Middle,8232.3,40.0,23.6,73.0,86.0,68.6,10.64
426,Pena High School,Michigan,Private,Elementary,5362.72,40.0,13.5,43.7,91.3,73.5,4.58
427,Morton High School,California,Private,High,10439.06,49.6,23.0,41.6,55.2,92.0,4.87
428,Dyer Middle School,New York,Private,High,14084.19,45.9,23.6,50.7,64.2,60.4,9.54
429,Anderson Middle School,Illinois,Charter,Middle,20069.05,40.6,17.4,70.6,45.2,55.6,10.2
430,Shields Middle School,Illinois,Charter,High,15835.24,47.4,29.7,47.1,54.4,84.4,7.51
431,Wilson High School,Illinois,Charter,Elementary,17667.6,40.9,26.9,44.5,10.9,59.8,7.76
432,Rios Middle School,Georgia,Public,Middle,6600.83,40.7,14.8,90.4,61.3,96.7,5.57
433,Bryan Elementary School,Florida,Charter,Elementary,7578.83,47.6,13.3,52.2,47.8,95.5,1.44
434,Thompson High School,Georgia,Charter,High,14062.74,40.0,23.1,81.2,66.3,79.7,7.51
435,Morales Elementary School,Texas,Private,Elementary,8197.86,41.7,21.3,94.7,32.1,98.1,7.78
436,Smith High School,California,Public,Middle,12553.16,40.0,23.5,84.0,31.0,90.3,7.91
437,Riley Elementary School,Illinois,Charter,High,22718.72,56.9,16.0,36.9,74.2,69.5,3.47
438,Johnson High School,California,Public,Middle,5918.98,40.0,16.0,92.3,94.0,51.9,8.73
439,Hart Middle School,Georgia,Private,Middle,24981.9,50.6,28.4,75.9,13.0,78.4,6.62
440,Mckinney Middle School,Pennsylvania,Private,High,10686.95,40.0,29.7,91.1,51.5,74.9,13.11
441,Lane High School,Florida,Public,Middle,21661.84,56.2,17.5,84.5,44.6,93.5,4.38
442,Vazquez Elementary School,Pennsylvania,Charter,High,11144.58,43.1,13.4,59.7,51.1,64.9,7.11
443,Oconnor Elementary School,North Carolina,Public,High,12468.53,41.8,16.5,63.1,14.0,56.6,6.12
444,Yates Elementary School,North Carolina,Public,Middle,17295.27,52.9,21.1,86.8,38.7,88.2,8.55
445,Herrera High School,Texas,Private,High,17924.69,48.2,22.8,10.3,42.8,50.4,5.2
446,Carroll High School,New York,Charter,High,5126.28,40.0,24.6,91.1,14.5,99.5,7.9
447,Raymond Elementary School,Ohio,Charter,Elementary,16813.75,55.4,26.5,59.9,18.7,93.1,7.41
448,Swanson Elementary School,Texas,Public,Elementary,6020.51,40.0,26.6,34.2,90.2,76.5,9.03
449,Hill High School,Florida,Public,Middle,24406.3,74.7,12.3,27.7,22.7,78.1,0.5
450,Hunt Elementary School,Florida,Charter,Middle,12617.67,43.6,24.4,57.0,32.7,76.9,6.33
451,Moss High School,Florida,Charter,Elementary,9099.77,40.0,24.5,66.2,63.0,60.5,10.02
452,Cunningham High School,Georgia,Charter,Elementary,8154.29,40.0,19.2,89.6,60.2,74.4,10.38
453,Green Middle School,North Carolina,Private,Middle,8569.4,45.0,24.9,65.5,65.7,89.3,6.97
454,Anderson High School,Pennsylvania,Charter,Middle,10250.37,58.1,20.6,24.8,45.1,87.7,0.95
455,Dennis High School,Ohio,Charter,Middle,23348.72,66.6,28.9,19.3,19.9,97.1,2.12
456,Bishop Middle School,Ohio,Public,Middle,10539.69,40.0,27.2,14.6,44.0,57.5,6.6
457,Mcdowell Elementary School,Ohio,Private,Elementary,15418.75,46.4,26.4,48.4,53.7,67.6,10.59
458,Gibson High School,Georgia,Public,Elementary,7251.77,43.2,10.8,20.0,59.8,69.4,2.81
459,Thompson High School,Pennsylvania,Public,High,23647.13,51.0,27.4,89.2,89.8,91.2,11.33
460,Mckee Middle School,Texas,Charter,Elementary,7314.17,40.0,13.9,52.4,55.0,66.3,6.87
461,Thomas Elementary School,New York,Charter,Middle,22980.07,59.9,19.1,80.9,53.8,96.3,5.9
462,Copeland Middle School,California,Private,High,5928.37,40.0,21.4,87.3,22.8,88.9,6.96
463,Potts Middle School,Texas,Public,High,20838.57,44.7,23.7,70.2,37.6,80.1,6.6
464,Lee Middle School,Florida,Private,Middle,24491.68,42.8,26.2,45.6,84.2,62.7,9.58
465,Woodard High School,Michigan,Private,Elementary,20753.33,56.2,21.6,19.0,40.5,77.8,3.44
466,Lambert High School,Georgia,Private,High,21795.7,47.9,16.2,77.6,57.9,64.2,8.45
467,Kelly Elementary School,Ohio,Private,Elementary,19612.89,47.7,19.8,35.9,57.3,52.7,5.39
468,Richard Elementary School,North Carolina,Public,Elementary,7243.24,55.6,13.1,29.5,86.2,88.4,0.5
469,Lowe Elementary School,New York,Public,High,19831.89,51.5,16.8,89.4,94.7,78.1,6.73
470,Mitchell Elementary School,Georgia,Charter,Elementary,24895.76,69.1,15.3,10.3,9.0,78.4,0.5
471,Campbell High School,New York,Charter,Elementary,16600.84,52.6,18.8,76.7,76.1,98.5,5.44
472,Carr Middle School,California,Charter,Middle,12509.36,40.0,26.8,18.8,58.8,50.5,9.34
473,Carroll Elementary School,Illinois,Charter,Elementary,7138.51,40.0,17.9,94.5,76.3,80.8,9.57
474,Smith Elementary School,Florida,Public,High,15009.82,40.0,27.2,46.8,41.4,58.0,6.5
475,Rodriguez Elementary School,New York,Charter,Elementary,11528.83,40.0,30.0,66.8,73.4,76.1,9.97
476,Giles Elementary School,Michigan,Public,High,11140.85,56.1,10.1,45.8,36.8,99.7,0.5
477,Lopez High School,Michigan,Public,Elementary,8813.09,51.3,10.1,58.1,32.2,81.4,5.56
478,Villa High School,Texas,Public,Elementary,8649.96,40.0,21.1,44.0,51.0,80.6,3.95
479,Guerra Middle School,North Carolina,Public,High,23683.21,70.3,11.3,36.6,6.1,81.8,0.5
480,Jones Elementary School,Ohio,Private,High,23284.76,75.0,28.3,11.4,88.4,97.4,2.14
481,Lee Elementary School,Texas,Public,High,7012.78,40.0,21.0,29.2,58.1,57.4,7.5
482,Bell High School,Florida,Public,Elementary,15823.87,62.7,19.3,18.8,39.5,81.4,1.42
483,Jackson Elementary School,North Carolina,Public,High,22386.16,64.3,19.0,46.3,7.2,87.6,1.6
484,Castro Elementary School,North Carolina,Private,Middle,8362.24,48.7,11.1,25.4,86.2,72.3,3.28
485,Patterson Elementary School,Ohio,Private,Middle,18853.83,56.2,25.8,30.3,32.2,85.4,4.0
486,Rice High School,Illinois,Private,Elementary,7230.65,46.8,22.6,13.3,68.8,93.6,0.95
487,Turner High School,North Carolina,Charter,Elementary,6176.17,40.0,28.2,74.9,88.8,90.2,10.44
488,Hayes Middle School,Illinois,Private,High,10128.18,40.3,21.1,88.2,64.8,93.2,6.57
489,Suarez Middle School,Ohio,Charter,High,8257.66,40.0,25.8,77.5,87.4,56.4,12.86
490,Baker High School,New York,Private,Middle,8014.98,40.0,11.8,76.8,41.9,65.5,8.01
491,Fernandez High School,Ohio,Private,High,16179.94,64.3,15.3,19.3,49.4,83.8,0.5
492,Hogan Elementary School,Illinois,Private,Middle,5883.7,47.4,23.7,10.2,68.3,94.4,1.71
493,Santana High School,Texas,Private,High,9716.5,40.0,17.1,80.0,24.0,52.7,9.28
494,Miller Middle School,Illinois,Public,Elementary,10442.89,51.6,21.9,12.6,34.3,80.4,0.59
495,Smith Elementary School,New York,Charter,Middle,9316.56,47.1,10.8,52.6,7.6,77.6,2.63
496,Jones High School,Illinois,Charter,Middle,22737.04,56.8,10.4,75.6,41.8,56.1,5.35
497,Gonzales Middle School,New York,Charter,High,20071.1,52.6,23.9,22.5,81.8,91.7,3.18
498,Green High School,New York,Public,High,7215.76,40.0,28.0,48.7,48.4,86.4,5.44
499,Smith Elementary School,Ohio,Private,Middle,16365.49,40.0,20.9,92.1,17.8,85.3,9.23
500,Hernandez High School,Ohio,Charter,Middle,5664.88,40.0,17.7,56.8,12.5,79.2,4.0
501,Cervantes Middle School,Illinois,Private,High,22107.28,74.7,10.2,38.3,23.5,86.9,0.5
502,Martinez High School,Florida,Charter,Elementary,13705.49,48.9,27.4,28.3,7.7,68.0,4.45
503,Hunter Elementary School,Illinois,Private,Elementary,7487.38,40.0,19.8,11.0,67.3,50.7,7.71
504,Ponce High School,California,Public,Middle,17376.31,40.0,14.2,74.1,90.5,58.7,10.1
505,Dickson Elementary School,Michigan,Private,High,8588.45,40.0,29.6,48.0,56.9,77.4,7.9
506,Carter Middle School,North Carolina,Private,Middle,19483.87,56.1,13.7,74.2,47.7,93.6,4.26
507,Collins Middle School,Michigan,Charter,Elementary,8926.76,55.5,15.9,35.6,44.1,76.8,0.5
508,Cruz Middle School,Texas,Charter,Middle,9136.39,40.0,26.0,88.5,12.7,57.8,11.7
509,Wagner Elementary School,Ohio,Public,Middle,17460.02,47.0,12.3,70.6,70.3,70.7,9.15
510,Peterson High School,North Carolina,Charter,High,19319.02,58.3,13.9,16.9,30.6,51.5,2.92
511,Hensley Middle School,Pennsylvania,Charter,Elementary,18396.07,43.1,21.3,63.1,43.7,76.5,7.3
512,Smith Elementary School,Florida,Public,High,12295.52,47.1,18.2,38.1,26.6,74.1,4.76
513,Curry Middle School,Georgia,Public,High,19980.84,63.6,15.2,16.7,18.4,71.7,1.29
514,Mercado Elementary School,North Carolina,Private,High,7794.44,40.0,29.5,41.0,65.1,74.3,5.66
515,Mendez Middle School,Illinois,Private,High,6712.11,40.0,26.9,25.7,47.4,60.0,5.37
516,Powell Elementary School,Ohio,Charter,High,22563.27,54.8,14.2,79.0,83.1,74.4,7.16
517,Hampton Middle School,Florida,Private,Elementary,15236.52,55.3,23.7,13.0,19.1,71.1,1.67
518,Schultz Middle School,Texas,Public,Elementary,5901.92,40.0,24.7,11.0,77.0,64.5,7.48
519,Mendoza Middle School,Florida,Charter,High,22177.28,61.2,13.0,65.6,79.8,79.1,4.03
520,Thomas Middle School,Texas,Private,High,17262.97,43.0,24.9,84.4,65.5,61.8,9.24
521,Stevens Middle School,Ohio,Private,Elementary,17356.53,51.6,11.6,14.9,56.6,54.9,1.48
522,Foster Elementary School,Texas,Public,High,22895.34,44.3,25.5,45.5,63.2,53.8,5.89
523,Martin Middle School,California,Private,Elementary,20741.08,55.0,28.8,58.6,81.3,86.3,6.66
524,Schroeder Middle School,Georgia,Public,High,23784.47,58.9,23.7,36.0,68.9,80.9,3.8
525,Lucas High School,California,Charter,Middle,6395.51,41.5,19.7,85.8,22.4,88.4,6.75
526,Sweeney Elementary School,New York,Private,High,7964.41,40.0,26.5,36.4,88.1,53.4,10.93
527,Miller Elementary School,New York,Private,Middle,14667.99,54.8,23.8,27.4,83.7,81.0,5.48
528,Williams Elementary School,New York,Private,Elementary,16355.89,48.1,23.0,53.7,55.9,78.7,6.13
529,Houston Elementary School,Ohio,Public,Middle,15207.97,52.8,13.8,17.4,80.0,61.4,0.77
530,Evans Elementary School,Florida,Charter,High,14713.27,43.9,26.2,94.9,39.6,81.0,10.87
531,Hopkins High School,New York,Private,High,23305.84,46.6,18.6,60.9,82.7,51.4,10.11
532,Mccoy Middle School,Pennsylvania,Charter,Elementary,22658.61,48.7,26.2,44.8,65.1,71.4,7.49
533,Wolfe Elementary School,Texas,Private,Middle,8881.62,40.0,11.4,86.8,57.7,73.7,9.19
534,Sweeney High School,Illinois,Public,High,7961.54,40.0,18.6,48.1,71.2,62.4,6.35
535,Howard High School,Ohio,Charter,Elementary,13048.54,41.1,22.4,30.2,55.1,76.3,7.67
536,Horn Middle School,Florida,Public,Elementary,21000.4,61.5,20.7,19.3,69.0,74.4,1.32
537,Walsh Elementary School,New York,Public,Middle,11314.29,40.0,27.0,45.3,86.9,78.7,8.79
538,Abbott High School,California,Private,Elementary,24391.42,63.3,12.0,78.8,58.2,75.9,2.92
539,Garcia High School,New York,Public,Middle,10273.32,40.0,18.8,54.1,80.6,58.2,7.76
540,Martinez Middle School,North Carolina,Charter,High,24453.33,58.8,24.0,38.6,37.9,82.8,5.31
541,Ponce Middle School,Michigan,Private,Middle,14253.69,40.0,17.5,78.5,65.8,58.3,9.95
542,Thompson Elementary School,Ohio,Charter,Middle,10422.95,40.1,16.7,84.1,51.7,94.6,7.64
543,Rogers Elementary School,Georgia,Charter,High,10379.77,44.0,16.2,20.6,26.8,50.3,5.28
544,Diaz High School,Michigan,Private,High,5360.83,41.8,15.2,24.8,90.5,80.5,3.48
